					Normalized Odds Ratio	Libraries (out of 6)	Normalized Odds Ratio	Libraries (out of 3)	Normalized Odds Ratio	Libraries (out of 3)
yqiB	cyaR	CDS	sRNA	-5.64			1.2	1		
arrS	gadB	cis_AS_with_trans_t	CDS	-8.74			1.2	2		
hybO	arcZ	CDS	sRNA	-3.52			1.2	1		
fliA	uhpT.EST3UTR	CDS	3UTR	-9.72	0.4	U			1.2	3
yqaE	cyaR	CDS	sRNA	-11.06			1.2	1		
fliC	yqiB	CDS	CDS	-4.75					1.2	U
aceK	yqeG	CDS	CDS	-8.16			1.2	1		
rffM	gcvB	CDS	sRNA	-6.7					1.2	U
rssA	cyaR	CDS	sRNA	-5.51			1.2	U		
yjiA.yjiX.IGT	spf	IGT	sRNA	-3.79	1.2	U				
insL-1	chiX	CDS	sRNA	-2.5					1.2	1
yodB.serU.IGR	gcvB	IGR	sRNA	-5.36					1.2	1
nagE	spf	CDS	sRNA	-6.46	1.2	1			0.5	3
lepA	sdsR	CDS	sRNA	-7.31			1.2	U		
ubiD	uhpT.EST3UTR	CDS	3UTR	-0.31					1.2	1
maeB	spf	CDS	sRNA	-9.29	0.5	U			1.2	1
mtgA	arcZ	CDS	sRNA	-2.93	1.2	U				
panD	gcvB	CDS	sRNA	-14.87	0.4	U	0.6	U	1.2	1
ftsE	cyaR	CDS	sRNA	-6.49			1.2	1		
waaF	cyaR	CDS	sRNA	-10.16	0.2	U	1.2	U	0.4	U
gdhA	sucD.EST3UTR	CDS	3UTR	-7.87			1.2	1		
sufB	ryhB	CDS	sRNA	-13.43					1.2	2
yqfA	cpxP.3UTR	CDS	3UTR	-12.48			1.2	2		
ahpC	dicF	CDS	sRNA	-14.07	1.1	U	1.2	U	0.7	2
glpK	uhpT	CDS	CDS	-10.04	0.2	4	1.2	2	0.4	3
lepB	cpxP.3UTR	CDS	3UTR	-3.57			1.2	U		
lrp	micF	CDS	sRNA	-15.12			1.2	2		
rpsJ	sucD.EST3UTR	CDS	3UTR	-8.57			0.6	1	1.2	2
sohB	cyaR	CDS	sRNA	-6.98			1.2	U		
ycbJ	arcZ	CDS	sRNA	-11	0.3	U	1.2	1	1.1	1
rodZ	glnA.3UTR	CDS	3UTR	-5.72					1.2	U
aceB.aceA.IGT	fnrS	IGT	sRNA	-7.97	1.2	U				
yciA	gcvB	CDS	sRNA	-2.08					1.2	1
valS	arcZ	CDS	sRNA	-12.15	0.5	U	1.2	U	1.0	1
clpS	arcZ	CDS	sRNA	-8.33	0.3	U	1.2	3	0.5	1
arrS	glpQ	cis_AS_with_trans_t	CDS	-9.28			1.2	3		
yjeI	cpxP.3UTR	CDS	3UTR	-9.75			1.2	2	0.9	1
dnaB	arcZ	CDS	sRNA	-3.47					1.2	U
malK	cyaR	CDS	sRNA	-11.77	0.7	6			1.2	2
fliC	nlpE.EST3UTR	CDS	3UTR	-7.61	1.1	1			1.2	3
bluR	ryhB	CDS	sRNA	-12.19					1.2	U
mtr	cyaR	CDS	sRNA	-8.51			1.2	2		
arrS	hemX	cis_AS_with_trans_t	CDS	-6.31			1.2	U		
hrpA	arcZ	CDS	sRNA	-4.86			1.2	2		
gshB	glnA.3UTR	CDS	3UTR	-9.62					1.1	U
insH-1	mgrR	CDS	sRNA	-10.53			1.1	U		
murG	cyaR	CDS	sRNA	-10.32	0.5	U	0.6	1	1.1	U
asmA	cpxP.3UTR	CDS	3UTR	-11.21			1.1	U		
otsB	arcZ	CDS	sRNA	-9.75			1.1	2		
dtd	cyaR	CDS	sRNA	-10.04			1.1	2	1.0	1
rseA	ryhB	CDS	sRNA	-5.72					1.1	2
hupB	chiX	CDS	sRNA	-8.26					1.1	1
fabD	chiX	CDS	sRNA	-3.98					1.1	3
uspA	omrB	CDS	sRNA	-6.39					1.1	1
tdcB.tdcA.IGT	spf	IGT	sRNA	-7.58	1.1	6			0.7	2
exuT	cyaR	CDS	sRNA	-6	1.1	U				
gcvH.gcvT.IGT	micL	IGT	sRNA	-8.45	1.1	1				
fdx	ryhB	CDS	sRNA	-7.73					1.1	1
yhiJ.yhiI.IGR	cpxP.3UTR	IGR	3UTR	-13.04			1.1	3		
priB	arcZ	CDS	sRNA	-5.35			1.1	2		
greB	spf	CDS	sRNA	-7.72					1.1	1
mreC	chiX	CDS	sRNA	-12.48					1.1	2
yhcB	sdsR	CDS	sRNA	-8.32			1.1	2		
uvrB	arcZ	CDS	sRNA	-4.75			1.1	U		
glpF	spf	CDS	sRNA	-12.71	0.9	3	1.1	2	0.8	3
flhA	tap	CDS	CDS	-17.99					1.1	U
amyA	cyaR	CDS	sRNA	-7.87	0.6	1	1.1	U	1.0	2
acnB	ryhB	CDS	sRNA	-9.91					1.1	2
exbB	cyaR	CDS	sRNA	-13.01	0.7	U			1.1	2
modA	cyaR	CDS	sRNA	-12.82	0.6	2			1.1	1
gadY	hdeA	cis_AS_with_trans_t	CDS	-9.43			1.1	1		
tmk	ryhB	CDS	sRNA	-8.13					1.1	U
mraY	cyaR	CDS	sRNA	-6.47	0.5	U			1.1	1
putA	cpxP.3UTR	CDS	3UTR	-2.75			1.1	1		
yeeZ	cpxP.3UTR	CDS	3UTR	-9.82			1.1	1		
glpT	cyaR	CDS	sRNA	-9.19	0.3	U	1.1	2	0.6	3
arrS	bax	cis_AS_with_trans_t	CDS	-4.45			1.1	1		
tolB	cyaR	CDS	sRNA	-17.34	1.1	U	0.6	U	1.1	2
murA	mgrR	CDS	sRNA	-5.21					1.1	1
gadE.mdtE.IGT (gadF)	lpp	IGT	CDS	-4.13			1.1	3		
yeeX	glnA.3UTR	CDS	3UTR	-3.63					1.1	2
glpA	ompW	CDS	CDS	-8.08			1.1	U		
insH-2.ybcQ.IGR	spf	IGR	sRNA	-10.16	0.7	2			1.1	1
adhE	cyaR	CDS	sRNA	-13.66	0.1	U	1.1	2	0.2	1
rraB	ryhB	CDS	sRNA	-13.83					1.1	2
cysB	gcvB	CDS	sRNA	-11.2	0.7	U			1.1	2
cysJ	mgrR	CDS	sRNA	-10.19			1.1	U		
ftsX	cyaR	CDS	sRNA	-9.84	1.0	1	0.9	1	1.1	2
hypB	ryhB	CDS	sRNA	-12.44					1.1	1
nirC	cyaR	CDS	sRNA	-13.08					1.1	U
ompC	glpX.3UTR	CDS	3UTR	-6.63			1.1	U		
soxS	yqiB	CDS	CDS	-10.2					1.1	U
acpP	ybiJ.ybiC.IGR	CDS	IGR	-8.35					1.1	1
nmpC	insH-2.ybcQ.IGR	CDS	IGR	-13.8	0.2	U			1.1	U
selD	arcZ	CDS	sRNA	-3.42			1.1	U		
mlaA	cyaR	CDS	sRNA	-12.56			1.1	2	1.0	2
cysE	ryhB	CDS	sRNA	-13.18					1.1	2
gadE.mdtE.IGT (gadF)	gapA	IGT	CDS	-1.57			1.0	U		
lspA.fkpB.IGT	spf	IGT	sRNA	-9.76	1.0	U			0.6	1
yfdI	fnrS	CDS	sRNA	-3.05					1.0	U
thrC	arcZ	CDS	sRNA	-8.48			1.0	U		
rhlB	gcvB	CDS	sRNA	-5.46	0.4	U			1.0	2
yhaJ	ryhB	CDS	sRNA	-12.8					1.0	U
cysE	gpsA	CDS	CDS	-8.08					1.0	U
yeeZ	mgrR	CDS	sRNA	-13.56			1.0	U		
ybeD	arcZ	CDS	sRNA	-3.62			1.0	1		
cydB	cyaR	CDS	sRNA	-13.55	0.6	6	0.6	3	1.0	2
bamD	gcvB	CDS	sRNA	-6.57	1.0	1			1.0	U
tdcA	omrB	CDS	sRNA	-4.79					1.0	2
zapB	ryhB	CDS	sRNA	-5.55					1.0	3
polA	cyaR	CDS	sRNA	-10.4			1.0	1		
ansB	cyaR	CDS	sRNA	-13.76	0.4	5	1.0	3	0.6	U
cirA	ryjB.sgcQ.IGR	CDS	IGR	-14.48					1.0	3
glgB	yqiB	CDS	CDS	-7.56					1.0	U
lpd	rprA	CDS	sRNA	-6.19			1.0	U		
acnB	uhpT.EST3UTR	CDS	3UTR	-4.13					1.0	1
def	uhpT	CDS	CDS	-4.47					1.0	U
trxA	ryhB	CDS	sRNA	-5.01					1.0	3
yfdH	ryhB	CDS	sRNA	-4.44					1.0	3
znuA	micA	CDS	sRNA	-6.05			1.0	U		
panB	gcvB	CDS	sRNA	-7.62	1.0	U			0.7	U
wrbA	micL	CDS	sRNA	-9.32			1.0	U		
fhuA	micA	CDS	sRNA	-10.1					1.0	1
cysQ	cyaR	CDS	sRNA	-5.29			0.5	U	1.0	U
rpoN	arcZ	CDS	sRNA	-11.9			1.0	2	0.4	U
phoP	gcvB	CDS	sRNA	-9.98					1.0	1
kefB	sucD.EST3UTR	CDS	3UTR	-5.47					1.0	1
fumA	arcZ	CDS	sRNA	-8.59			1.0	1		
exbB	uhpT.EST3UTR	CDS	3UTR	-5.5					1.0	U
sucB.3UTR	fnrS	3UTR	sRNA	-9.91			1.0	2		
hupB	lon	CDS	CDS	-13.41					1.0	U
eptB	cyaR	CDS	sRNA	-7.59			1.0	1		
zapB	cyaR	CDS	sRNA	-9.33	0.3	1	0.6	1	1.0	2
fliD	uhpT.EST3UTR	CDS	3UTR	-6.47					1.0	1
tolC	arcZ	CDS	sRNA	-7.39			1.0	U	0.9	U
fabI	gcvB	CDS	sRNA	-7.01					1.0	1
ucpA	cyaR	CDS	sRNA	-8.74			1.0	1		
hslV	sucD.EST3UTR	CDS	3UTR	-10.57			1.0	U		
cspE	mglB	CDS	CDS	-9.35			1.0	U		
puuR	arcZ	CDS	sRNA	-7.72			1.0	U		
nuoE	arcZ	CDS	sRNA	-6.57			1.0	2	0.4	1
bamA	cpxP.3UTR	CDS	3UTR	-8.83			1.0	1		
panD	cpxP.3UTR	CDS	3UTR	-9.73			1.0	U		
tktB	arcZ	CDS	sRNA	-3.89			1.0	2		
ycbZ	omrB	CDS	sRNA	-3.67					1.0	U
yggN	cpxP.3UTR	CDS	3UTR	-11.42			1.0	1		
cydA	ryhB	CDS	sRNA	-6.68					1.0	3
fliK	gcvB	CDS	sRNA	-18.67					1.0	1
gatA	hupB	CDS	CDS	-10.79	0.2	U	1.0	2		
narK	cyaR	CDS	sRNA	-11.57					1.0	1
yjdC	arcZ	CDS	sRNA	-11.8			1.0	U		
bamB	cpxP.3UTR	CDS	3UTR	-11.31			1.0	1		
focA	cpxP.3UTR	CDS	3UTR	-12.9			1.0	1		
gcvH	motA	CDS	CDS	-4.22	1.0	U				
diaA	arcZ	CDS	sRNA	-4.67			1.0	U	0.6	U
pheV	chiX	tRNA	sRNA	-4.76			1.0	2		
acs	arcZ	CDS	sRNA	-2.08			1.0	1		
ilvL.ilvX.IGT	yjcZ	IGT	CDS	-9.41	1.0	U				
ybaO	ryhB	CDS	sRNA	-8.53					1.0	U
gadB	micA	CDS	sRNA	-5.4			1.0	2		
tdcB.tdcA.IGT	uhpT.EST3UTR	IGT	3UTR	-6.74	1.0	2			0.8	1
pyrG	uhpT.EST3UTR	CDS	3UTR	-6.47					1.0	U
tsr	micA	CDS	sRNA	-6.9					0.9	1
pepP	arcZ	CDS	sRNA	-6.95			0.9	U		
rcsD	micA	CDS	sRNA	-11.87			0.9	2		
fhuB	mgrR	CDS	sRNA	-6.63					0.9	1
dut	mcaS	CDS	sRNA	-5.94					0.9	U
acs	gcvB	CDS	sRNA	-12.66			0.9	U		
glmS	glmZ.hemY.IGR	CDS	IGR	-7.14	0.6	1	0.9	U		
tsx	uhpT.EST3UTR	CDS	3UTR	-9.34	0.3	U			0.9	2
gpmA	arcZ	CDS	sRNA	-8.16			0.9	2	0.1	1
narG	ryhB	CDS	sRNA	-12.86					0.9	2
rlmD	micA	CDS	sRNA	-3.81			0.9	U		
ompA	rybB	CDS	sRNA	-9.07			0.9	1		
fsaA.EST3UTR	cyaR	3UTR	sRNA	-6.71	0.9	U				
clpB	micA	CDS	sRNA	-5.48			0.9	1		
dps	omrB	CDS	sRNA	-6.01			0.9	2		
lpxC	arcZ	CDS	sRNA	-14.22			0.9	3	0.1	2
rpsG.rpsL.IGT	uhpT	IGT	CDS	-6.19					0.9	1
lrp	spf	CDS	sRNA	-10.4	0.4	U			0.9	1
lpp	micL	CDS	sRNA	-7.04	0.4	6	0.9	3	0.4	3
ivbL	gcvB	CDS	sRNA	-13.99			0.7	2	0.9	2
srlA	uhpT.EST3UTR	CDS	3UTR	-6.8	0.9	U				
bamA	sdsR	CDS	sRNA	-6.2			0.9	U		
spoT	ryhB	CDS	sRNA	-8.15					0.9	1
hfq	omrB	CDS	sRNA	-4.13					0.9	1
ygeV	ryhB	CDS	sRNA	-7.49					0.9	2
osmY	rprA	CDS	sRNA	-8.39			0.9	1		
purH	spf	CDS	sRNA	-9.45	0.9	U				
ychH	mcaS	CDS	sRNA	-10.91	0.9	1	0.6	1	0.7	1
ybiO	cyaR	CDS	sRNA	-7.89			0.9	2		
ilvB.ivbL.IGT	gcvB	IGT	sRNA	-10.63	0.7	U	0.9	1		
raiA	ycaC	CDS	CDS	-12.83			0.9	1		
dnaK	arcZ	CDS	sRNA	-4.04			0.9	2	0.4	1
ftsW	cyaR	CDS	sRNA	-7.47	0.5	U	0.9	1	0.5	U
nuoL	omrB	CDS	sRNA	-8.99					0.9	U
ftsK	ryhB	CDS	sRNA	-8.27					0.9	2
ygaC	uhpT.EST3UTR	CDS	3UTR	-9.13					0.9	U
aceB	uhpT.EST3UTR	CDS	3UTR	-2.28			0.9	U		
gcvT	fnrS	CDS	sRNA	-6.69	0.9	1			0.8	U
rne	fliC.fliA.IGR	CDS	IGR	-7.44	0.9	2			0.7	2
fabI	cpxP.3UTR	CDS	3UTR	-3.44			0.9	U		
djlA	arcZ	CDS	sRNA	-3.91			0.9	1		
lrhA	mcaS	CDS	sRNA	-10.45	0.9	U			0.8	1
fliC	malG.3UTR	CDS	3UTR	-8.7					0.9	1
alr	gcvB	CDS	sRNA	-8.3					0.9	1
minC	chiX	CDS	sRNA	-8.52					0.9	2
mdh	spf	CDS	sRNA	-8.37	0.3	U	0.4	1	0.9	1
alaS	cpxP.3UTR	CDS	3UTR	-3.4	0.6	U	0.9	1		
ompC	arcZ	CDS	sRNA	-10.07	0.2	1	0.8	3	0.5	3
ribB	hokE.ybdK.IGR	CDS	IGR	-5	0.8	U				
mglB	malG.3UTR	CDS	3UTR	-10.21					0.8	1
malK	fnrS	CDS	sRNA	-8.13					0.8	1
ychN	cyaR	CDS	sRNA	-6.88			0.8	1		
gapA	cyaR	CDS	sRNA	-10.84	0.1	5	0.8	3	0.3	3
mazF	ryhB	CDS	sRNA	-8.84					0.8	U
yfgD	arcZ	CDS	sRNA	-8.98			0.8	1		
bamA	micA	CDS	sRNA	-6.04			0.8	1		
gcvH	arcZ	CDS	sRNA	-8.59	0.5	U	0.8	2		
lpcA	spf	CDS	sRNA	-4.52					0.8	U
entF	uhpT.EST3UTR	CDS	3UTR	-4.49					0.8	U
pdxK	ryhB	CDS	sRNA	-13.51					0.8	U
hupB	zapE.yhcB.IGR	CDS	IGR	-6.11					0.8	U
fre	arcZ	CDS	sRNA	-6.07	0.5	U			0.8	1
yshB	ryhB	CDS	sRNA	-6.5					0.8	1
infB	ryhB	CDS	sRNA	-6.89					0.8	1
osmY	cpxP.3UTR	CDS	3UTR	-4.73			0.8	1		
tnaA	arcZ	CDS	sRNA	-6.94	0.2	3	0.8	3	0.5	3
flgE	cpxP.3UTR	CDS	3UTR	-10.02	0.4	3			0.8	2
sdhB	ryhB	CDS	sRNA	-6.18					0.8	1
fhuA	uhpT.EST3UTR	CDS	3UTR	-6.24					0.8	U
hflX.hflK.IGT	arcZ	IGT	sRNA	-5.23			0.8	1		
cmk	cyaR	CDS	sRNA	-5.77					0.8	1
mutL	arcZ	CDS	sRNA	-3.28			0.8	U		
csrA	micF	CDS	sRNA	-11.78			0.5	U	0.8	U
gatD	micA	CDS	sRNA	-5.39			0.8	2		
gpmM	ryhB	CDS	sRNA	-9.88					0.8	1
glgC	sdsR	CDS	sRNA	-6.67			0.8	U		
fhuB	cyaR	CDS	sRNA	-2.55					0.8	U
pheL.pheA.IGT	gcvB	IGT	sRNA	-6.39					0.8	1
lysS	spf	CDS	sRNA	-7.92					0.8	1
minC	cpxP.3UTR	CDS	3UTR	-3.15			0.8	1		
flgG	cyaR	CDS	sRNA	-17.34	0.4	2			0.8	3
yiiD	arcZ	CDS	sRNA	-4.8					0.8	U
sthA	spf	CDS	sRNA	-8.66	0.3	U	0.8	U	0.8	1
gatC	cpxP.3UTR	CDS	3UTR	-11			0.8	2		
yegP	sdsR	CDS	sRNA	-6.72			0.8	1		
ompA	yehA.EST3UTR	CDS	3UTR	-7.46			0.8	U		
ariR.ymgC.IGT	bssR	IGT	CDS	-5.7			0.8	2		
G0-10697.oppA.IGR	chiX	IGR	sRNA	-5.42			0.8	2		
dxr	omrB	CDS	sRNA	-10.05					0.8	U
ispA	spf	CDS	sRNA	-4.88	0.8	U				
ydiU	cyaR	CDS	sRNA	-13.93					0.8	U
atpC.atpD.IGT	cpxP.3UTR	IGT	3UTR	-9.75					0.8	1
tar	uhpT.EST3UTR	CDS	3UTR	-2.57	0.8	U				
hns	hupB	CDS	CDS	-10.46					0.8	3
ompX	micA	CDS	sRNA	-6.89					0.8	1
gadY	ryjA	cis_AS_with_trans_t	sRNA	-5.61			0.8	1		
accA	ryhB	CDS	sRNA	-10.24					0.8	1
glpK	arcZ	CDS	sRNA	-9.82	0.3	1	0.5	3	0.8	3
accD	omrB	CDS	sRNA	-7.86					0.8	1
rfbX	rmf	CDS	CDS	-11.94			0.8	3		
damX	cyaR	CDS	sRNA	-4.59			0.8	1		
cspD	glpX.3UTR	CDS	3UTR	-5.71			0.8	1		
yidC	arcZ	CDS	sRNA	-6.26			0.8	U	0.4	U
uspE	cpxP.3UTR	CDS	3UTR	-12.45			0.8	U		
moaC	uhpT	CDS	CDS	-7.8	0.8	U				
motA	nrfA	CDS	CDS	-7.92	0.8	U				
yeaG	omrA	CDS	sRNA	-5.95			0.8	U		
manX	malG.3UTR	CDS	3UTR	-9.3					0.8	1
envC	gcvB	CDS	sRNA	-5.98					0.8	1
ves	ryhB	CDS	sRNA	-6.48					0.8	U
mrp	arcZ	CDS	sRNA	-10.21			0.8	2		
deoD	flgL	CDS	CDS	-13.01					0.8	1
rfbX	fnrS	CDS	sRNA	-7.29					0.8	U
eda	cyaR	CDS	sRNA	-13.6			0.8	U		
gatB	cyaR	CDS	sRNA	-8.89	0.2	1	0.8	1	0.3	1
garP	cyaR	CDS	sRNA	-11.07					0.8	1
fldA	ryhB	CDS	sRNA	-7.17					0.8	U
polA	spf	CDS	sRNA	-5.41	0.5	U			0.8	U
bssR	xylB.xylA.IGT	CDS	IGT	-2.81			0.8	U		
ompF	uhpT.EST3UTR	CDS	3UTR	-10.23	0.3	2			0.8	2
fabG	ykgH.EST3UTR	CDS	3UTR	-3.57					0.8	U
tdcB	dsrA	CDS	sRNA	-6.89	0.7	U				
ubiE	ryhB	CDS	sRNA	-7.44					0.7	1
arcB	cyaR	CDS	sRNA	-4.67	0.7	U				
ygaC	arcZ	CDS	sRNA	-5.17					0.7	3
ymdA	fliC.fliA.IGR	CDS	IGR	-11.49	0.7	U			0.2	U
pal	uhpT.EST3UTR	CDS	3UTR	-7.12					0.7	1
bssS	ryhB	CDS	sRNA	-8.29					0.7	2
ompA	tdcG	CDS	CDS	-6.14	0.6	U	0.4	2	0.7	U
tig	micA	CDS	sRNA	-5.83					0.7	1
rodZ	gcvB	CDS	sRNA	-8.15					0.7	U
yggN	sdsR	CDS	sRNA	-6.51			0.7	U		
aldA	sdsR	CDS	sRNA	-3.86			0.7	U		
maeB	micA	CDS	sRNA	-7.56			0.7	U		
pepD	sucD.EST3UTR	CDS	3UTR	-2.84					0.7	1
mdh	cyaR	CDS	sRNA	-11.16	0.2	U	0.6	3	0.7	2
tpx	uhpT.EST3UTR	CDS	3UTR	-8.01					0.7	1
motA	rpsF	CDS	CDS	-9.63					0.7	1
tonB	cyaR	CDS	sRNA	-5.93					0.7	2
narK	yajO.dxs.IGT	CDS	IGT	-25.51	0.7	U			0.7	U
rplT	malG.3UTR	CDS	3UTR	-2.76	0.7	U			0.7	U
cspE	malG.3UTR	CDS	3UTR	-6.51			0.7	U		
fliG	micA	CDS	sRNA	-4.08					0.7	1
flhB	uhpT	CDS	CDS	-9.2					0.7	1
eda.edd.IGT	ryhB	IGT	sRNA	-6.62					0.7	1
hemX	arcZ	CDS	sRNA	-4.63			0.7	1	0.7	1
ychN	cpxP.3UTR	CDS	3UTR	-13.01			0.7	U		
htpX	micA	CDS	sRNA	-9.47			0.7	1		
glpC	gcvB	CDS	sRNA	-10.42	0.7	5			0.6	U
tonB	uhpT.EST3UTR	CDS	3UTR	-8.67					0.7	U
fnr	fnrS	CDS	sRNA	-11.48	0.7	4				
pka	ryhB	CDS	sRNA	-11.12					0.7	2
ynaE	gcvB	CDS	sRNA	-10.75	0.7	U				
sucD	yghD.yghF.IGR	CDS	IGR	-10.65			0.7	1		
talB	spf	CDS	sRNA	-5.61					0.7	1
damX	micF	CDS	sRNA	-9.57			0.7	U		
clpS	cpxP.3UTR	CDS	3UTR	-9.71			0.7	1		
yddB	micA	CDS	sRNA	-3.86					0.7	1
fadJ	ryhB	CDS	sRNA	-10.31					0.7	U
ybhQ	cyaR	CDS	sRNA	-7.48			0.7	2		
osmC	cpxP.3UTR	CDS	3UTR	-11.48			0.7	2		
der	cyaR	CDS	sRNA	-5.66			0.7	1		
glpD	mgrR	CDS	sRNA	-9.79	0.6	2	0.7	3	0.5	2
rodZ	micA	CDS	sRNA	-3.54			0.7	U		
katG	sucD	CDS	CDS	-7.62			0.7	2		
wrbA	rprA	CDS	sRNA	-7.84			0.7	U		
epmB	ryhB	CDS	sRNA	-8.54					0.7	1
dnaA	uhpT	CDS	CDS	-6.84	0.7	U				
malE	uhpT.EST3UTR	CDS	3UTR	-8.56					0.7	1
uspG	cyaR	CDS	sRNA	-12.16			0.7	1		
fliE	raiA	CDS	CDS	-6.64	0.7	U				
arrS	hdeA	cis_AS_with_trans_t	CDS	-5.66			0.7	1		
arrS	cspD	cis_AS_with_trans_t	CDS	-8.37			0.7	1		
fliI	uhpT	CDS	CDS	-12.87	0.7	U			0.7	1
entB	omrB	CDS	sRNA	-5.48					0.7	1
galM.3UTR	ryhB	3UTR	sRNA	-6.76					0.7	1
gsk	ompA	CDS	CDS	-8.53					0.7	1
gatD	mgrR	CDS	sRNA	-11.84	0.7	U				
gcvH	cyaR	CDS	sRNA	-6.72	0.7	2	0.1	U		
rsmH	spf	CDS	sRNA	-7.92	0.7	1			0.7	2
kgtP	cyaR	CDS	sRNA	-7.89	0.2	U	0.7	3	0.3	2
rplL	ryhB	CDS	sRNA	-5.76					0.7	2
dppF	arcZ	CDS	sRNA	-9.02			0.7	2		
apt	mcaS	CDS	sRNA	-6.48	0.7	U				
motA	zapB	CDS	CDS	-9.29	0.7	1				
lrp	cpxP.3UTR	CDS	3UTR	-17.38			0.7	U		
yecA	cpxP.3UTR	CDS	3UTR	-7.99			0.7	1		
bolA	cyaR	CDS	sRNA	-5.59			0.7	1		
kgtP	yrbL.EST3UTR	CDS	3UTR	-3.16			0.7	U		
napD	cpxP.3UTR	CDS	3UTR	-7.78	0.7	U				
oxyR	cyaR	CDS	sRNA	-9.05			0.7	U		
amyA	fliT	CDS	CDS	-10.98	0.7	U				
tnaC.tnaA.IGT	spf	IGT	sRNA	-6.66	0.3	6	0.6	2	0.2	3
aspS	mcaS	CDS	sRNA	-11.38					0.6	1
grcA	arcZ	CDS	sRNA	-7.2			0.6	2	0.2	1
hdeB	mgrR	CDS	sRNA	-7.43			0.6	2		
rhlB	arcZ	CDS	sRNA	-16.77			0.6	1		
fabG	cyaR	CDS	sRNA	-10.13	0.3	4	0.5	3	0.6	3
cheA	mgrR	CDS	sRNA	-10.26	0.6	U			0.3	1
rplK	chiX	CDS	sRNA	-8.52					0.6	3
gpmA	ahpF.EST3UTR	CDS	3UTR	-13.1					0.6	1
icd	gcvB	CDS	sRNA	-7.35	0.6	5	0.5	2	0.4	3
lrp	gcvB	CDS	sRNA	-14.87					0.6	U
ftsA	cyaR	CDS	sRNA	-5.32	0.6	U	0.6	1		
ompA	cyaR	CDS	sRNA	-12.37	0.1	1	0.6	3	0.5	2
feoB	arcZ	CDS	sRNA	-7.11					0.6	2
rfbB	cyaR	CDS	sRNA	-5					0.6	U
aceK	micA	CDS	sRNA	-0.67			0.6	U		
sucC	fnrS	CDS	sRNA	-8.24			0.6	U		
ves	cyaR	CDS	sRNA	-2.34					0.6	U
rpsF	micA	CDS	sRNA	-7.49					0.6	2
dmsA	motA	CDS	CDS	-11.1	0.6	U				
glpD	cyaR	CDS	sRNA	-6.67	0.6	6	0.5	3	0.6	3
glpT	uhpT.EST3UTR	CDS	3UTR	-6.94	0.6	4			0.6	1
ryfD	minE.ycgI.IGR	other-ncRNA	IGR	-5.33			0.6	1		
gadE.mdtE.IGT (gadF)	hdeB	IGT	CDS	-6.85			0.6	U		
tdcA	cyaR	CDS	sRNA	-7.79					0.6	1
hdeD	csrB	CDS	other-ncRNA	-3.64			0.6	3		
ompT	ryhB	CDS	sRNA	-8.42					0.6	1
htpX	cyaR	CDS	sRNA	-12.36			0.6	1		
fbp	cpxP.3UTR	CDS	3UTR	-9.29			0.6	1		
sdhC	spf	CDS	sRNA	-12.46	0.6	U				
trg	cyaR	CDS	sRNA	-3.61					0.6	U
rsmH	ryhB	CDS	sRNA	-14.19					0.6	1
gpmA	cyaR	CDS	sRNA	-9.64			0.6	2	0.5	3
hybO	micA	CDS	sRNA	-4.46	0.6	U				
raiA	rho	CDS	CDS	-10.69			0.6	1		
zapB	mgrR	CDS	sRNA	-11.14	0.4	U	0.6	U	0.3	1
exbB	ryhB	CDS	sRNA	-12.7					0.6	3
agp	cyaR	CDS	sRNA	-8.98			0.6	2	0.5	U
bamA	motA	CDS	CDS	-8.85	0.6	U				
ribB	ryhB	CDS	sRNA	-9.99					0.6	1
tdcA	uhpT.EST3UTR	CDS	3UTR	-8.07	0.6	U				
rpsB.tsf.IGT	oxyS	IGT	sRNA	-2.56					0.6	1
tdcB	mgrR	CDS	sRNA	-5.33	0.5	2			0.6	2
rpsS	fliC.fliA.IGR	CDS	IGR	-6.63	0.3	3	0.6	1	0.4	2
fhuF.EST3UTR	gcvB	3UTR	sRNA	-8.03					0.6	3
msyB	chiX	CDS	sRNA	-17.25					0.6	U
uspA	fnrS	CDS	sRNA	-9.61	0.4	4			0.6	U
gcvT	spf	CDS	sRNA	-8.62	0.6	U			0.5	1
tdcB	micA	CDS	sRNA	-2.02					0.6	U
sfsA	uhpT	CDS	CDS	-7.71	0.6	U				
ompT	cyaR	CDS	sRNA	-15.82					0.6	U
katG	ryhB	CDS	sRNA	-5.7					0.6	U
deoB.deoD.IGT	uhpT.EST3UTR	IGT	3UTR	-5.02	0.6	U				
hupA	cpxP.3UTR	CDS	3UTR	-11.71			0.6	1	0.4	U
ydcL	gcvB	CDS	sRNA	-9.55					0.6	U
cspD	arcZ	CDS	sRNA	-9.73	0.1	U	0.6	3	0.3	2
oppA	cyaR	CDS	sRNA	-7.26			0.6	1		
inaA	gcvB	CDS	sRNA	-7.97					0.6	1
ompF	cyaR	CDS	sRNA	-6.07			0.6	1	0.2	2
gadC.gadB.IGT	gadE.mdtE.IGT (gadF)	IGT	IGT	-7.49			0.6	1		
cysB	arcZ	CDS	sRNA	-4.98			0.6	U		
malT	arcZ	CDS	sRNA	-7.83					0.6	1
yfeC	cpxP.3UTR	CDS	3UTR	-5.77			0.6	U		
yqaB	cyaR	CDS	sRNA	-7.68	0.5	U			0.6	U
envZ	gcvB	CDS	sRNA	-7.36					0.6	U
maeA	ompC	CDS	CDS	-8.3					0.6	U
